Title,Acronym,CORE ranking,researcher1,researcher2,researcher3,Final classification
Automated Software Engineering Conference,ASE,A*,x,x,x,x
Architectural Support for Programming Languages and Operating Systems,ASPLOS,A*,,,,
Computer Aided Verification,CAV,A*,,,,
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,A*,x,x,x,x
International Conference on Software Engineering,ICSE,A*,x,x,x,x
ACM International Symposium on Computer Architecture,ISCA,A*,,,,
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,A*,,,,
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,A*,,,,
Measurement and Modeling of Computer Systems,SIGMETRICS,A*,,,,
IEEE International Requirements Engineering Conference,RE,A,x,x,x,x
International Conference in Business Process Management,BPM,A,,,,
International Symposium on Code Generation and Optimization,CGO,A,,,,
International Conference on Evaluation and Assessment in Software Engineering,EASE,A,x,x,x,x
European Conference on Object-Oriented Programming,ECOOP,A,,,,
European Conference on Software Architecture,ECSA,A,x,x,x,x
International Symposium on Empirical Software Engineering and Measurement,ESEM,A,x,x,x,x
European Symposium on Programming,ESOP,A,,,,
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,A,,,,
Foundations of Software Science and Computational Structures,FOSSACS,A,,,,
International Conference on Functional Programming,ICFP,A,,,,
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,A,x,x,x,x
International Conference on Software Architecture (was previously WICSA),ICSA,A,x,x,x,x
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,A,x,x,x,x
"International Conference on Software Testing, Verification and Validation",ICST,A,x,x,x,x
International Joint Conference on Automated Reasoning,IJCAR,A,,,,
International Symposium on Software Reliability Engineering,ISSRE,A,x,,x,x
International Symposium on Software Testing and Analysis,ISSTA,A,x,x,x,x
"International Conference on Model Driven Engineering Languages and Systems (Previously UML, changed in 2005)",MODELS,A,,x,,x
IEEE International Working Conference on Mining Software Repositories,MSR,A,x,x,x,x
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,A,,,,
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,A,x,x,x,x
International Symposium on Software Engineering for Adaptive and Self-Managing Systems,SEAMS,A,x,x,x,x
Tools and Algorithms for Construction and Analysis of Systems,TACAS,A,,,,
